id,Food Name,State,Diet Type,Calories kcal,Protein g,Iron mg,Calcium mg,Folic Acid mcg,Vitamin C mg,Vitamin D IU,Omega 3 mg,Fiber g,Preparation Time min,Safety Notes,Cultural Significance,Link
210,Kokum Drinks,Maharashtra,Vegetarian,60,0.5,0.2,11,16,36,0,0,2,0,Wash thoroughly,Seasonal drink,
211,Thalipeeth,Maharashtra,Vegetarian,160,4,1.8,25,40,15,0,0,2.5,20,Wash flour thoroughly,Traditional flatbread,
212,Green Chicken & Bhakri,Maharashtra,Non-Vegetarian,220,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Popular protein dish,
213,Malwani Fish Curry,Maharashtra,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal delicacy,
214,Khandesi Mutton Sukha,Maharashtra,Non-Vegetarian,200,14,1.8,50,10,5,0,100,0.5,45,Ensure fully cooked,Traditional dish,
215,Chicken Kolhapuri & Jeera Rice,Maharashtra,Non-Vegetarian,220,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Popular protein dish,
216,Kala Masala Fish Curry,Maharashtra,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal delicacy,
217,Aluchi Patal Bhaji,Maharashtra,Vegetarian,80,2,1.2,150,50,40,0,0,3,30,Wash thoroughly,Nutritious side dish,
218,Matki Usal,Maharashtra,Vegetarian,125,8,2.5,45,70,30,0,0,6,15,Cook sprouts fully,Nutritious snack,
219,Fish Curry,Andaman and Nicobar,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal staple,
220,Coconut Rice,Andaman and Nicobar,Vegetarian,180,3.5,0.8,20,30,5,0,0,1.5,25,Use fresh coconut,Island dish,
221,Lobster Curry,Andaman and Nicobar,Non-Vegetarian,170,14,0.8,60,10,5,10,200,0.5,30,Ensure fully cooked,Seafood delicacy,
222,Pineapple,Andaman and Nicobar,Vegetarian,50,0.5,0.3,13,16,48,0,0,1.5,0,Wash thoroughly,Tropical fruit,
223,Prawn Fry,Andaman and Nicobar,Non-Vegetarian,170,13,0.8,60,10,5,10,200,0.5,25,Ensure fully cooked,Coastal delicacy,
224,Vegetable Stew,Andaman and Nicobar,Vegetarian,100,2,1,50,40,20,0,0,3,25,Wash vegetables thoroughly,Coconut-based dish,
225,Papaya,Andaman and Nicobar,Vegetarian,43,0.5,0.3,20,60,60,0,0,2,0,Wash thoroughly,Nutrient-rich fruit,
226,Crab Curry,Andaman and Nicobar,Non-Vegetarian,160,12,0.9,70,10,5,10,200,0.5,30,Ensure fully cooked,Island delicacy,
227,Coconut Chutney,Andaman and Nicobar,Vegetarian,150,2,0.5,15,10,5,0,0,1.5,10,Use fresh coconut,Side dish,
228,Mango,Andaman and Nicobar,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
229,Fish Fry,Andaman and Nicobar,Non-Vegetarian,200,18,1,50,10,5,20,250,0.5,25,Use low-mercury fish,Popular dish,
230,Banana,Andaman and Nicobar,Vegetarian,90,1.1,0.3,5,25,10,0,0,3.5,0,Wash before peeling,Common fruit,
231,Jackfruit,Andaman and Nicobar,Vegetarian,95,1.7,0.2,24,25,14,0,0,3.5,0,Wash thoroughly,Seasonal fruit,
232,Coconut Milk Curry,Andaman and Nicobar,Vegetarian,120,2,1,40,30,10,0,0,2,25,Use fresh coconut,Island dish,
233,Sardine Curry,Andaman and Nicobar,Non-Vegetarian,180,15,1,50,10,10,20,250,0.5,30,Use low-mercury fish,Coastal dish,
234,Papadam,Andaman and Nicobar,Vegetarian,150,5,1.5,20,40,0,0,0,2,10,Use fresh oil,Side dish,
235,Pomfret Fry,Andaman and Nicobar,Non-Vegetarian,200,18,1,50,10,5,20,250,0.5,25,Use low-mercury fish,Popular dish,
236,Pomegranate,Andaman and Nicobar,Vegetarian,83,1.7,0.3,10,38,10,0,0,3.5,0,Wash thoroughly,Nutrient-rich fruit,
237,Rice Porridge,Andaman and Nicobar,Vegetarian,100,2,0.5,15,20,0,0,0,1,20,Use clean rice,Light meal,
